instrument,soil_property,prep_transform,train,prep_spectra
20,pH_H20,withoutTransform,int10CVrep10,SG1stDer
20,pH_H20,withoutTransform,int10CVrep10,SNV
20,pH_H20,withoutTransform,int10CVrep10,SNVplusSG1stDer
20,pH_H20,withoutTransform,int10CVrep10,wavelet
20,potassium_cmolkg,logTransform,int10CVrep10,BOC
20,potassium_cmolkg,logTransform,int10CVrep10,raw
20,potassium_cmolkg,logTransform,int10CVrep10,SG1stDer
20,potassium_cmolkg,logTransform,int10CVrep10,SNV
20,potassium_cmolkg,logTransform,int10CVrep10,SNVplusSG1stDer
20,potassium_cmolkg,logTransform,int10CVrep10,wavelet
